mean,se_mean,sd,10%,25%,50%,75%,90%,n_eff,Rhat,param,Treat,rate,99%
250.87737356903,0.14836666205008198,5.781342892978283,244.16655760591715,247.015078207388,250.49026588040428,254.28041635418646,258.02558211493096,1518.3951379111725,1.0004222543404948,kopt,c.c,Vcmax,NA
76.06129601610633,0.21685020906306618,9.795815721739267,63.97285752292652,69.54828391408127,75.81149274362974,82.02663740797861,88.74560633206553,2040.6171056891724,0.9991532523656912,Ha,c.c,Vcmax,NA
314.80605933345237,0.0209123134965588,0.7799206133149701,313.93940272298295,314.28868166494766,314.7087822084641,315.19875375115964,315.75658884749583,1390.902335041037,0.9996421417362185,Topt,c.c,Vcmax,NA
21.514725400388077,0.05015971968779881,2.399400013206757,18.623383153008575,19.758601312001822,21.273871448273923,22.944896860346333,24.727263175084133,2288.205958498016,1.0002847423549908,sigma,c.c,Vcmax,NA
250.87737356903,0.14836666205008198,5.781342892978283,244.16655760591715,247.015078207388,250.49026588040428,254.28041635418646,258.02558211493096,1518.3951379111725,1.0004222543404948,Vcmax_Topt,c.c,Vcmax,NA
-153.09983087523693,0.041882097276631544,1.6014125368019092,-155.2774082629827,-153.89678219688784,-152.70117051801512,-151.9274326177069,-151.46118710355228,1462.0075179657674,1.002137489397353,lp__,c.c,Vcmax,NA
207.82414013433757,0.7005589211847947,19.37256499897987,191.66979809458437,197.2225902760939,204.27244593770237,212.73274203471146,224.48816155921818,764.6891314668344,1.0044026752626092,kopt,c.w,Vcmax,NA
77.59313673085651,0.453024716908117,18.979698159995255,53.707909907418994,64.16219645568955,76.50142698616584,90.24731643527078,102.3440072694172,1755.2331297662452,1.004861431101175,Ha,c.w,Vcmax,NA
316.63803794003917,0.08244269899187508,2.3173962019989824,314.55388730537254,315.17755257755516,316.1158150806166,317.41477388873625,319.1250389095535,790.1256841060257,1.0054232629970048,Topt,c.w,Vcmax,NA
39.786974322538846,0.09179455250009048,4.290711227914103,34.513092724593974,36.90579038643867,39.4690717970804,42.30071413709452,45.42847557114774,2184.8657441799414,0.9998975774950732,sigma,c.w,Vcmax,NA
207.82414013433757,0.7005589211847947,19.37256499897987,191.66979809458437,197.2225902760939,204.27244593770237,212.73274203471146,224.48816155921818,764.6891314668344,1.0044026752626092,Vcmax_Topt,c.w,Vcmax,NA
-182.69468653773052,0.055758717826859074,1.73683611684821,-185.0371253953976,-183.485173675003,-182.27788460168523,-181.43983462013682,-180.9228777267618,970.2689328385902,1.0022692380179912,lp__,c.w,Vcmax,NA
224.7351855616453,0.15338446807215828,7.558687849792,215.41787478079237,219.6447300143041,224.5480760914399,229.2800643758186,NA,2428.454955272111,0.9993587305226255,kopt,w.c,Vcmax,244.6161220228315
77.51682803535134,0.32023526482917586,15.678151438284598,58.53808815165274,66.80516166647402,76.46296785220082,87.27715209807377,NA,2396.9081895384024,0.9994867124749088,Ha,w.c,Vcmax,118.74676971078328
315.03306027773465,0.02499616556212948,1.0384750361999047,313.901452619359,314.3495729085831,314.8798131153368,315.52752014079755,NA,1726.0180654154558,1.0000223626856946,Topt,w.c,Vcmax,318.2982868066599
32.6308886178362,0.06785234720823886,3.5917131732091385,28.432253288534124,30.072153950934773,32.280726691434374,34.83543679474802,NA,2802.034921362209,1.000039564605971,sigma,w.c,Vcmax,42.73835231611226
224.7351855616453,0.15338446807215828,7.558687849792,215.41787478079237,219.6447300143041,224.5480760914399,229.2800643758186,NA,2428.454955272111,0.9993587305226255,Vcmax_Topt,w.c,Vcmax,244.6161220228315
-164.88414270711954,0.039629338209274466,1.630770631067079,-167.04702506747645,-165.67298218822862,-164.4912506398897,-163.69921275495886,NA,1693.3710208921837,1.0004970517662568,lp__,w.c,Vcmax,-162.8243042917345
232.5168868091072,0.20166790876883006,7.873084446717138,223.83852874513775,227.3349357139179,231.47702692524916,236.71235476184214,242.20039255988078,1524.109709370152,1.0009775821100717,kopt,w.w,Vcmax,NA
75.02194572573123,0.24890997231353892,11.111750128328508,61.6296652104436,67.34385500280922,74.5350848875434,81.94493893780665,88.96332257451766,1992.8762915930586,0.9999343652280533,Ha,w.w,Vcmax,NA
316.8085241985326,0.026711039549488686,1.0328420785650185,315.66504712099606,316.098785504629,316.67318524910377,317.31350740171956,318.13331194318766,1495.1551644879682,1.0004463156587913,Topt,w.w,Vcmax,NA
21.951744262883434,0.048443396714443435,2.3813891391375583,19.062742554358742,20.234760939688442,21.733344804552637,23.575434498033417,25.097810419967043,2416.5265059340218,1.0003950374255073,sigma,w.w,Vcmax,NA
232.5168868091072,0.20166790876883006,7.873084446717138,223.83852874513775,227.3349357139179,231.47702692524916,236.71235476184214,242.20039255988078,1524.109709370152,1.0009775821100717,Vcmax_Topt,w.w,Vcmax,NA
-154.04909958864712,0.03866038298761188,1.5470679621460994,-156.1056079582619,-154.84430668064542,-153.6910614142245,-152.91876508248245,-152.48053251078858,1601.3507995740576,1.0013890255363296,lp__,w.w,Vcmax,NA
292.6423773386589,0.2018503972821237,8.494673816619557,281.8893922242642,287.0823391100062,292.6527327071197,298.0812956008864,303.2180627120316,1771.0637637849084,1.0009201721165153,kopt,c.c,Jmax,NA
62.53493988451126,0.2769708132009406,13.443140191632432,46.401084656173964,53.40992872088957,61.59004274333642,70.53074151980866,79.77050370424769,2355.7730173141144,1.0005210032075955,Ha,c.c,Jmax,NA
312.9258190204318,0.034435648436022794,1.050160779423463,311.847172394355,312.2360207337782,312.78629580256614,313.4266952031877,314.1154042049242,930.0259326147443,1.0018929333151916,Topt,c.c,Jmax,NA
