mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,param,Treat,rate
250.87737356903,0.14836666205008198,5.781342892978283,240.72362514242639,247.015078207388,250.49026588040428,254.28041635418646,263.597419995936,1518.3951379111725,1.0004222543404953,kopt,c.c,Vcmax
76.06129601610633,0.21685020906306618,9.795815721739267,57.71453851972929,69.54828391408127,75.81149274362974,82.02663740797861,97.12889599271924,2040.6171056891724,0.9991532523656911,Ha,c.c,Vcmax
314.80605933345237,0.0209123134965588,0.7799206133149701,313.54018523455653,314.28868166494766,314.7087822084641,315.19875375115964,316.65598373411854,1390.902335041037,0.9996421417362161,Topt,c.c,Vcmax
21.514725400388077,0.05015971968779881,2.399400013206757,17.65804734063314,19.758601312001822,21.273871448273923,22.944896860346333,27.003586804351833,2288.205958498016,1.0002847423549908,sigma,c.c,Vcmax
250.87737356903,0.14836666205008198,5.781342892978283,240.72362514242639,247.015078207388,250.49026588040428,254.28041635418646,263.597419995936,1518.3951379111725,1.0004222543404953,Vcmax_Topt,c.c,Vcmax
-153.09983087523693,0.041882097276631544,1.6014125368019092,-157.31605034927475,-153.89678219688784,-152.70117051801512,-151.9274326177069,-151.17262422757153,1462.0075179657674,1.0021374893973534,lp__,c.c,Vcmax
206.7648636386554,0.570035825502014,18.333312784918608,185.52885376698418,196.74400451281193,203.17701229833222,211.71625551540933,258.2305156995456,1034.3739963032053,1.0066944434458875,kopt,c.w,Vcmax
78.16269089044687,0.4222676646580498,18.512182882954736,44.466085139276345,65.10173897869859,77.3047784814764,90.82885648170091,115.29778658623474,1921.9390519167962,1.0015853651296387,Ha,c.w,Vcmax
316.5182647909863,0.06670523240733432,2.209273379752817,313.78565583157456,315.16456466735485,316.0253680424951,317.19610097415995,322.26231523417994,1096.9305097483114,1.0057126282625328,Topt,c.w,Vcmax
39.89438739297309,0.08800168603305633,4.270080189868867,32.65395540337858,36.85893884022917,39.48038849227051,42.451432106283576,49.41942602194318,2354.4532743379004,1.0009968192152314,sigma,c.w,Vcmax
206.7648636386554,0.570035825502014,18.333312784918608,185.52885376698418,196.74400451281193,203.17701229833222,211.71625551540933,258.2305156995456,1034.3739963032053,1.0066944434458875,Vcmax_Topt,c.w,Vcmax
-182.63009678619824,0.04388319671072776,1.692550788354122,-186.91013243411473,-183.43264227519967,-182.2242019404418,-181.35834215719257,-180.57687665422375,1487.602520727767,1.0005597967713542,lp__,c.w,Vcmax
224.48387128786217,0.15406317540102493,7.430840638931301,210.26306220493709,219.4702151737335,224.13128874807333,229.06410838852324,240.36729446263703,2326.366875315876,0.9993370094687729,kopt,w.c,Vcmax
77.78507887180264,0.33859768556383896,16.096348748472042,48.22650954355421,66.35435886419413,77.08591079989695,88.03214550449351,111.99286499037922,2259.88726924445,1.0006092114015066,Ha,w.c,Vcmax
315.01629722212874,0.021411885509630406,1.0085302810442427,313.43539120809663,314.34872750818073,314.874085863529,315.5227018457288,317.38893200977975,2218.5440681042846,1.0013130327024864,Topt,w.c,Vcmax
32.61457207561666,0.06823489176272973,3.573609888601146,26.453467430823252,30.12415618452926,32.279134712847195,34.7181815940385,40.7910168368074,2742.8450152510463,0.9995658450269195,sigma,w.c,Vcmax
224.48387128786217,0.15406317540102493,7.430840638931301,210.26306220493709,219.4702151737335,224.13128874807333,229.06410838852324,240.36729446263703,2326.366875315876,0.9993370094687729,Vcmax_Topt,w.c,Vcmax
-164.88614068778742,0.03678830619733057,1.6118838613336046,-168.9153451894347,-165.66608670343925,-164.48147262581114,-163.70755648922864,-162.9053773751793,1919.7642897012395,1.0002220077594983,lp__,w.c,Vcmax
232.5921697376064,0.2207991195784328,8.509381500670024,218.89569033400215,227.01090133644888,231.67942850122301,236.8469246891063,252.67819771774822,1485.2559980681692,1.0015279329586866,kopt,w.w,Vcmax
75.16145709295408,0.259141099338608,11.56928031738287,54.96709067030344,67.11813310055024,74.30181229695005,82.24600044891272,100.67629194425677,1993.1505059779417,1.0024964868672712,Ha,w.w,Vcmax
316.80462593898227,0.028952129196683503,1.0841766422068242,315.20547595398324,316.0409930056427,316.6292035830005,317.36938856718814,319.50297370151173,1402.2940030134964,1.0016654569654755,Topt,w.w,Vcmax
21.960413879498244,0.04683363721134757,2.4333258897147494,17.85438509920345,20.260618783031102,21.717852719928658,23.39646277189358,27.3254275701063,2699.5089949110757,0.9993964149118159,sigma,w.w,Vcmax
232.5921697376064,0.2207991195784328,8.509381500670024,218.89569033400215,227.01090133644888,231.67942850122301,236.8469246891063,252.67819771774822,1485.2559980681692,1.0015279329586866,Vcmax_Topt,w.w,Vcmax
-154.17183595379797,0.04295757624728973,1.6231892769166996,-158.42348109186153,-154.99664607852873,-153.8281767989629,-152.95913990851932,-152.16495814507064,1427.7717699124678,1.0011878762737827,lp__,w.w,Vcmax
292.671310406678,0.1699032495668263,8.724470443184298,275.91429314551016,287.0720516525979,292.354604462348,298.09162006421286,310.34855454047954,2636.7853728430473,0.9993139252607931,kopt,c.c,Jmax
62.0756541298609,0.27871605517616765,13.668986645410776,37.66819623377549,52.885498074619456,61.37347075027408,70.25862109804615,91.59221539518407,2405.185989100623,1.0009151699642902,Ha,c.c,Jmax
312.94269249694406,0.024210546538669785,1.0431107442599152,311.4098591369934,312.2500840406227,312.7833534554501,313.41362747524795,315.5488269953546,1856.3148995713238,1.0020327637989916,Topt,c.c,Jmax
41.954949571418,0.09117269706202909,4.731797658582187,34.06395320419794,38.663079980191505,41.44380888131528,44.85144233800871,52.63313164746617,2693.535634986182,0.9996105649075347,sigma,c.c,Jmax
