DOY,Species,Time,Treat,CO2.meas,Plant,Leaf,Leaf.unique,Tset,Rep,Rep.total,Tleaf,Ci,Photo,Cond,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,TBlk,CO2.set,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R.W.m2.,Tl.Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci.Ca,RHsfc,C2sfc,AHs.Cs,EBal.,Tk
243,Tabebuia,9.25,c.c,400,1,1,11,27,1,1,31.72,240.6,16.56735653,0.245,3.37,1.54,31.72,6,1.420000017,1,2.840000033,28.52676583,26.9690075,400,400,378.0522766,27.33448983,31.24911404,70.58139039,80.70352173,500.3253021,1500.333557,183.9901886,101.0461235,-0.043555707,-0.665972591,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833875504,0.003369951,304.8687662,301.6767659,240.0533638,0.622538994,4.700927672,46.52263629,15.27352225,30.12276602,4.291040526,0.219684077,3.157603357,1.133437169,0.139018911,24.12711116,0.632023545,68.4768772,370.0703481,0.03125363,0,304.87
261,Tabebuia,11.05,c.w,800,1,1,11,28,1,16,33.47,270.35,11.02580489,0.1785,3.029,1.7535,33.47,6,1.420000017,1,2.840000033,29.94343472,28.18872357,400,400,384.973587,30.52015686,34.02890015,72.52342987,80.86685181,500.3487549,1499.039673,470.7776337,100.9190941,0.080871582,-0.268333227,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833914592,0.003029032,306.6211037,303.0934347,239.8463423,0.739801685,5.188038213,51.40791267,17.37901253,31.70726919,4.696846044,0.167574439,3.434165344,1.262680701,0.10564168,27.23054537,0.70092528,66.77539388,379.7042676,0.01951125,0,306.62
243,Tabebuia,10.70,w.w,800,1,1,111,40,1,1,41.815,276.25,9.466236511,0.175,5.37,3.06,41.815,6,1.420000017,1,2.840000033,40.69733239,40.04733277,400,399.5,385.6009064,44.42834091,50.53898812,58.30724526,66.32161713,500.2432099,1499.782288,221.696106,101.0002709,1.207641602,-1.744301677,0.666666672,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833738683,0.005367815,314.9651818,313.8473324,239.9651607,-0.135565266,8.163714055,80.82863647,30.28964836,41.25625706,7.926088113,0.167428869,5.104451023,2.821637091,0.105571272,27.84401314,0.714977276,62.2115467,381.0728392,0.015586637,0,314.965
243,Tabebuia,9.70,c.c,400,2,1,21,27,1,1,30.425,274.65,16.11873701,0.295,3.99,1.455,30.425,6,1.420000017,1,2.840000033,28.49844647,26.96974945,400,399.5,378.1996766,24.14574433,28.79359913,62.46670533,74.48911667,500.3082428,1499.441163,157.491211,101.0637207,-0.825021744,-0.631249309,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833847072,0.003990818,303.5766863,301.6484465,239.9105806,0.480792989,4.365991942,43.20038865,14.40678952,29.46256638,4.130686608,0.268894229,2.909988932,1.220697676,0.170449462,27.61913742,0.722690227,68.66135841,370.4309684,0.030397576,0,303.575
261,Tabebuia,10.51,c.w,800,2,1,21,27,1,18,32.11,204.9,11.84509679,0.113,1.52,1.355,32.11,6,1.420000017,1,2.840000033,28.95854568,27.11525726,400,400,385.1145325,32.42159271,34.18171692,81.55903625,85.98677063,500.343689,1499.072998,296.8555298,100.9283905,2.84569931,-0.08670786,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833906148,0.001519725,305.2604126,302.1085457,239.8516743,1.581211999,4.805006009,47.60807128,13.42635436,30.53447914,4.393008691,0.108560833,3.449905673,0.943103018,0.068225415,20.59604247,0.529883656,71.71966774,379.4557403,0.022500152,0,305.26
263,Tabebuia,12.76,w.c,400,2,1,121,29,1,18,34.62166977,257.6,12.40222014,0.183729049,3.780252251,2.110245113,34.62166977,6,1.420000017,1,2.840000033,32.03873444,30.21800232,400,400,382.6878357,29.55477715,33.93481064,62.25650406,71.4829483,500.2660522,1498.742188,824.461853,100.806839,0.859857559,-0.422758758,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833776754,0.003780252,307.7716698,305.1887344,239.7987446,0.479799882,5.531106105,54.86836171,20.93355107,33.3302021,5.146600955,0.17256523,3.420860992,1.725739962,0.108803624,25.75947308,0.667732201,62.50088991,376.6848088,0.020953808,0,307.7716698
243,Tabebuia,12.77,w.w,800,2,1,121,36,1,1,38.29,249.3,12.73638912,0.18,5.76,3.18,38.29,6,1.420000017,1,2.840000033,36.75368118,36.13483429,400,401,382.315979,28.85289383,35.51502609,46.80027771,57.60645676,500.3920898,1500.156494,159.9378662,100.9001083,-0.489925385,-1.082375407,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833986816,0.005760723,311.4363426,309.9036812,240.0250337,-0.39330834,6.761280761,67.00964818,31.49462209,37.5200119,6.48605426,0.173534852,3.58346998,2.90258428,0.109420396,25.10095846,0.650693132,53.48741313,376.2339176,0.018189846,0,311.44
243,Tabebuia,10.13,c.c,400,3,1,31,27,1,1,30.225,249.1,17.45862227,0.255,3.55,1.495,30.225,6,1.420000017,1,2.840000033,28.50266457,26.9698,400,400,377.1152496,23.77947331,27.91892433,61.48679734,72.18737412,500.2413178,1499.432556,452.6643677,101.0349503,-1.170841217,-0.600276828,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83373553,0.003550583,303.3765492,301.6526646,239.9092036,0.738208117,4.316205615,42.71992583,14.80100149,29.36460686,4.107410427,0.232700497,2.820785129,1.286625297,0.147222565,25.00908719,0.656499859,67.01200313,368.7098582,0.032222121,0,303.375
263,Tabebuia,12.22,w.c,400,3,1,131,29,1,15,34.31562424,227.1,12.49970853,0.1435266,3.162014141,2.234123876,34.31562424,6,1.420000017,1,2.840000033,30.73241043,29.116745,400,401,383.7328796,28.08976173,31.76637459,63.76060104,72.10610199,499.6286316,1500.295532,1330.948975,100.8511734,0.3026371,-0.334608734,1,-0.219565243,2.737391472,1,0,0.159999996,111125,0.832714386,0.003162014,307.4656242,303.8824104,240.0472798,0.660719782,5.437800028,53.91905562,22.15268103,32.52401733,4.918552383,0.136622058,3.203676152,1.714876231,0.085983386,22.64477705,0.585137701,59.1408682,377.683283,0.019928331,0,307.4656242
249,Tabebuia,9.64,c.c,400,4,1,41,25,1,1,28.19532013,280.75,20.93421719,0.442362224,4.536677927,1.159441744,28.19532013,6,1.420000017,1,2.840000033,26.05933953,25.01812935,400,400,372.6573792,21.21121502,26.50682259,63.31128693,79.11634064,500.3856964,1499.466126,99.92870332,101.0685616,-2.074569703,0.276701153,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833976161,0.004536678,301.3453202,299.2093395,239.9145747,0.176052053,3.838449069,37.97863831,11.47181572,27.12732983,3.606103234,0.382744408,2.679007325,0.927095909,0.243941217,28.28564598,0.751000249,72.99740185,362.6008104,0.042593524,0,301.3453201
