"Treat","Plant","Leaf","Rep","CO2.set","DOY","Time","CO2.meas","Plant.1","Leaf.1","Leaf.unique","Tset","Rep.1","Curve.unique","Rep.total","Tleaf","Ci","Ci.org","Photo","Photo.org","Cond","Trmmol","VpdL","CTleaf","Area","BLC_1","StmRat","BLCond","Tair","TBlk","CO2.set.1","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","fda","Trans","Tair_K","Twall_K","R.W.m2.","Tl.Ta","SVTleaf","h2o_i","h20diff","CTair","SVTair","CndTotal","vp_kPa","VpdA","CndCO2","Ci_Pa","Ci.Ca","RHsfc","C2sfc","AHs.Cs","EBal.","Tk"
"c.w",1,1,14,400,265,12.84444444,800,1,1,11,40,14,NA,29,43.33,329.4,327.05,6.838709083,7.21,0.264015519,6.643677125,2.560649405,43.32654572,6,1.420000017,1,2.840000033,41.1644783,40,400,402,389.773468,54.88224411,62.35289001,70.04081726,79.57486725,500.3121338,1498.671753,145.66008,100.6601715,4.408069611,-1.661517143,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833853556,0.006643677,316.4765457,314.3144783,239.7874751,-0.951322039,8.837102008,87.79144596,25.43855595,42.24551201,8.350612594,0.241559383,6.276452603,2.074159992,0.152843403,33.11828952,0.844107889,71.33665567,386.4937864,0.012734635,0,316.48
"c.c",2,1,14,400,254,12.015277775,800,2,1,21,38,14,NA,14,41.03498268,288.45,286.45262945,13.89359696,14.27477395,0.3255225915,8.432641118,2.727706093,41.03498268,6,1.420000017,1,2.840000033,39.288507465,38.08993912,400,399.5,378.6405487,41.01852417,50.633497235,57.988685605,71.57291031,499.5744934,1500.064575,132.33514785,100.87324145,2.341598511,-0.786628127,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8326241555,0.008432641,314.1849827,312.43850745,240.0103267,-1.795101671,7.8352722765,77.674300255,27.04080302,40.16174507,7.478907824,0.2920427495,5.107566183,2.371341641,0.1852657605,29.06782097,0.761042562,66.65040608,372.00893785,0.025005004,0,314.18498268
"w.c",2,1,14,400,268,11.52694444,400,2,1,121,36.5,14,NA,31,38.54393768,291.9,289.9003134,14.07750877,14.4282874,0.308532821,6.472463198,2.211357904,38.54393768,6,1.420000017,1,2.840000033,37.16431427,36.53003311,400,404,384.0458069,38.64662552,46.0631752,61.25541306,73.01074219,499.5035095,1498.956055,365.8696289,100.8329391,2.127056122,-1.00285244,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832505849,0.006472463,311.6939377,310.3143143,239.8329634,-0.737895101,6.856043246,67.99408312,21.93090792,37.85412598,6.604831319,0.278298897,4.644685342,1.960145977,0.176421967,29.30097424,0.756652735,69.14702141,377.246131,0.026219323,0,311.69393768
"w.w",2,1,14,400,251,12.73402778,800,2,1,121,41,14,NA,14,43.626039505,313.9,311.79895265,10.526198837,10.8996157865,0.304417401,5.2934440235,1.790356988,43.626039505,6,1.420000017,1,2.840000033,41.80068207,41.01537514,400,400,384.8621826,65.453605655,71.357646945,80.823432925,88.10964966,499.5641937,1500.119202,182.3401718,100.7148323,4.891569138,-1.309236288,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8326069895,0.005293444,316.7760395,314.95068205,240.0190669,-0.2100395915,8.97712831,89.13400711,17.776360165,42.713360785,8.5588146415,0.274899659,7.186771322,1.372043319,0.174240615,31.581916585,0.814762027,80.432138705,379.83036815,0.02246707,0,316.776039505
"c.w",3,1,14,400,270,12.20222222,400,3,1,31,30,14,NA,26,34.92406464,260.3,256.3417127,10.18481666,10.53345603,0.144977536,2.179415641,1.514495121,34.92406464,6,1.420000017,1,2.840000033,32.65107727,30.89302063,400,399,385.7314758,38.29692841,40.80768585,77.8635788,82.96833801,499.5652771,1499.039307,467.0842285,100.7204361,-1.477218628,-0.232343435,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832608795,0.002179416,308.0740646,305.8010773,239.8462837,1.348444849,5.624663036,55.84430781,15.03662196,33.78757095,5.280024201,0.137936114,4.110167915,1.169856286,0.086816205,25.95733457,0.668124532,73.08090618,380.7818293,0.019984186,0,308.07406464
"c.c",1,1,15,400,254,14.266944445,800,1,1,11,41,15,NA,15,41.500413895,295.95,293.7154442,11.82519465,12.202172135,0.2937658515,7.321969496,2.599932489,41.500413895,6,1.420000017,1,2.840000033,41.13986206,41.02533722,400,400,382.0058899,45.58164215,53.893857955,58.2978096,68.917354585,500.03318785,1499.8535765,166.479332,100.7356682,1.7569160465,-0.9698194265,0.8333333435,-0.219565243,2.737391472,1,0,0.159999996,111120,0.8333886465,0.0073219695,314.6504139,314.2898621,239.9765669,-1.015524995,8.028966023,79.703307785,25.809449835,41.320137975,7.952816906,0.2657214715,5.429033534,2.523783372,0.16838299,29.77768809,0.773837931,68.5370867,376.3570117,0.0216552685,0,314.650413895
"c.w",1,1,15,400,265,13.38416667,800,1,1,11,41,15,NA,30,44.44,317.9,314.66,6.017132155,6.38,0.187133418,5.406886159,2.854061549,44.44224167,6,1.420000017,1,2.840000033,42.05125046,41,400,400,389.5260315,58.64816284,64.71121216,71.38716888,78.76717377,500.4412537,1498.893677,163.1609802,100.6109009,4.215206146,-1.77900219,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834068756,0.005406886,317.5922417,315.2012505,239.8229829,-0.360115827,9.364714902,93.07853145,28.36731929,43.24674606,8.800370721,0.175565076,6.510653352,2.289717369,0.110712008,31.93058138,0.81475175,68.95823892,386.6369249,0.010840042,0,317.59
"c.c",2,1,15,400,254,12.574583335,800,2,1,21,39.5,15,NA,15,41.30404663,283,281.00820245,14.79564372,15.178028615,0.3318479345,9.197830154,2.921672561,41.30404663,6,1.420000017,1,2.840000033,40.518857955,39.84450722,400,400,377.67326355,39.3302269,49.827980045,52.033643725,65.922000885,499.5070343,1500.2407225,118.47460175,100.8338013,1.9700279235,-0.8095754385,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832511724,0.00919783,314.45404665,313.668858,240.03851025,-2.038128535,7.9460160925,78.803085505,28.97510546,40.911452295,7.782356172,0.2971079925,5.0243435315,2.75801264,0.1885294365,28.50506638,0.7485014625,64.81448256,370.61300195,0.025972548,0,314.45404663
"w.c",2,1,15,400,268,11.98694444,400,2,1,121,38,15,NA,32,39.98556137,294.7,292.7556702,13.10280947,13.45303304,0.300480922,6.917646791,2.40787974,39.98556137,6,1.420000017,1,2.840000033,38.70333862,38.09476471,400,404,384.4830627,41.71311951,49.60988235,60.7954483,72.30471039,499.5310059,1499.336426,368.9427185,100.7875214,2.632987976,-1.177905083,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832551676,0.006917647,313.1355614,311.8533386,239.8938228,-0.951479164,7.407936818,73.50053575,23.8906534,39.34445,7.157922727,0.271730935,5.000057078,2.157865649,0.172200275,29.57670742,0.763248303,68.67789248,378.1466164,0.02420957,0,313.13556137
"w.w",2,1,15,400,251,13.154166665,800,2,1,121,42,15,NA,15,43.419288635,320.25,318.560814,11.64692751,12.02293452,0.3968128225,6.2828411,1.67160475,43.419288635,6,1.420000017,1,2.840000033,42.31832886,41.99922943,400,400,382.78416445,64.599689485,71.604927065,77.588905335,85.999469755,499.59269715,1499.1708985,149.1357498,100.67628095,4.3683071135,-1.4080979825,0.6666666715,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8326544955,0.006282841,316.56928865,315.46832885,239.8673384,-0.6020738965,8.880522543,88.20867872,16.60375166,42.868808745,8.6284952485,0.3481660455,7.208917793,1.4195774555,0.22150737,32.21375983,0.835915079,82.060127065,377.2199127,0.02547177,0,316.569288635
