"Date","DOY","Species","Time","Treat.orig","Treat","CO2.meas","Plant","Leaf","Leaf.unique","Tset","Rep","Curve.unique","Rep.total","Tleaf","Ci","Ci.org","Photo","Photo.org","Cond","Trmmol","VpdL","CTleaf","Area","BLC_1","StmRat","BLCond","Tair","TBlk","CO2.set","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","fda","Trans","Tair_K","Twall_K","R.W.m2.","Tl.Ta","SVTleaf","h2o_i","h20diff","CTair","SVTair","CndTotal","vp_kPa","VpdA","CndCO2","Ci_Pa","Ci.Ca","RHsfc","C2sfc","AHs.Cs","EBal.","Tk"
"6-Sep-17",249,"Tabebuia",9.82,"Control","c.c",400,4,1,41,25,1,"c.c400.4.1.1",1,28.59141922,619.1,619.4116846,30.08916206,30.00538259,0.42623084,4.502658188,1.187561494,28.59141922,6,1.420000017,1,2.840000033,26.22010231,25.00883102,800,800,759.6738892,21.85440636,27.10799408,64.6216507,80.15607452,500.2981262,1498.941772,175.5579681,101.0808868,-7.421901703,0.267200649,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83383021,0.004502658,301.7414192,299.3701023,239.8306782,0.159378128,3.927661576,38.85661967,11.74862559,27.40576077,3.665348258,0.370609319,2.740100082,0.925248176,0.236059017,62.36953153,0.812224787,72.81313739,745.1405096,0.029876021,0,301.74141922
"6-Sep-17",249,"Tabebuia",10.7,"Control","c.c",400,4,1,41,29,2,"c.c400.4.1.2",2,31.34485817,577.3,577.7558877,32.9857454,32.90357847,0.343270333,3.241613781,1.026158651,31.34485817,6,1.420000017,1,2.840000033,29.58363724,29.12643242,800,801,758.130249,31.63014603,35.38079453,76.82789612,85.93801117,500.2211609,1500.493408,307.9379578,101.0347595,-6.192993164,0.209072292,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833701935,0.003241614,304.4948582,302.7336372,240.0789399,0.891124052,4.600848717,45.53728577,10.15649125,30.4642477,4.375387706,0.30625352,3.574690067,0.80069764,0.194422265,58.08197305,0.758274976,79.26243033,742.2206407,0.035741965,0,304.49485817
"6-Sep-17",249,"Tabebuia",15.23,"Control","c.c",400,4,1,41,35.5,3,"c.c400.4.1.3",3,37.22843552,465.5,466.156633,33.28577448,33.20678059,0.211916653,4.527264553,2.187999365,37.22843552,6,1.420000017,1,2.840000033,35.91880798,35.55774307,800,799,755.0968628,36.51003647,41.71046448,61.80838013,70.61225891,500.5469055,1500.0354,360.1286316,100.5963211,-6.022651672,-0.343692601,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834244843,0.004527265,310.3784355,309.068808,240.0056587,0.274659764,6.383918643,63.46075655,21.75029207,36.57362175,6.159620173,0.197201746,4.195919278,1.963700895,0.124493739,46.44953904,0.611500257,66.33601359,739.0459442,0.030308357,0,310.37843552
"8-Sep-17",251,"Tabebuia",15.50027778,"Control","c.c",400,4,1,41,37,4,"c.c400.4.1.4",4,39.9054184,496.3,496.9015075,31.02782625,30.94468248,0.219164664,4.363394118,2.017696633,39.9054184,6,1.420000017,1,2.840000033,38.30054092,37.10602951,800,800,759.0651245,48.3923645,53.34477997,71.84095764,79.19306946,500.4382019,1499.145874,150.5952606,100.4517899,-0.127122879,-0.707719564,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83406367,0.004363394,313.0554184,311.4505409,239.8633345,0.306028411,7.37627526,73.4309988,20.08621883,39.10297966,7.065671739,0.20346327,5.358578627,1.707093112,0.12848778,49.47849585,0.648902984,72.88719369,744.0858127,0.030867726,0,313.0554184
"18-Sep-17",261,"Tabebuia",11.2175,"Control","c.w",800,1,1,11,28,1,"c.w800.1.1.1",16,33.7,614.9,615,20.69597196,20.62,0.256,3.912,1.606,33.7,6,1.420000017,1,2.840000033,30.40439224,28.58596039,800,801,772.3665161,31.63461685,36.15615463,73.2131424,83.67750549,500.321167,1498.897949,446.2241211,100.9147644,-2.975460052,-0.288539678,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833868612,0.003911804,306.8506798,303.5543922,239.8236665,0.315199326,5.254447398,52.06817287,15.91201823,32.05253601,4.789300655,0.234995085,3.648689827,1.140610829,0.148639935,61.89023198,0.794042891,70.67512282,762.4152137,0.019406156,0,306.85
"18-Sep-17",261,"Tabebuia",13.50277778,"Control","c.w",800,1,1,11,31,2,"c.w800.1.1.2",17,35.39,633.3,634,20.14276025,20.06,0.304,5.584,1.952,35.39,6,1.420000017,1,2.840000033,32.61320114,31.05317307,800,801,771.7446289,31.45825958,37.9014473,64.09860229,77.22708893,500.2774963,1500.199097,159.7236633,100.7243195,-3.874729156,-0.577552557,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833795827,0.005583943,308.5354637,305.7632011,240.0318501,-0.476819547,5.770064013,57.2857086,19.3842613,33.99933243,5.342811106,0.274355708,3.817597485,1.525213621,0.17388706,63.65752578,0.818920602,67.90342026,762.0564794,0.018160588,0,308.54
"19-Sep-17",262,"Tabebuia",9.924444444,"Control","c.w",800,1,1,11,33,4,"c.w800.1.1.4",19,37.1444664,603.4,603.8371358,23.64825595,23.57002891,0.282515056,5.347078148,1.989893046,37.1444664,6,1.420000017,1,2.840000033,34.38539886,33,800,804,771.2888184,37.08821487,43.22332382,68.60884094,79.95807648,500.3294678,1499.538818,197.6070557,100.9841919,0.459470749,-0.727646947,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833882446,0.005347078,310.2944664,307.5353989,239.9262056,-0.360224408,6.354765473,62.92831931,19.70499549,35.76493263,5.892083023,0.256954009,4.364872427,1.527210596,0.1627125,60.78494569,0.780414991,69.92339581,759.9344578,0.021978276,0,310.2944664
"19-Sep-17",262,"Tabebuia",10.33444444,"Control","c.w",800,1,1,11,33.5,5,"c.w800.1.1.5",20,37.2471199,583.8,584.389422,22.50087159,22.424823,0.237512757,4.711844296,2.055682082,37.2471199,6,1.420000017,1,2.840000033,34.6815567,33.6,800,801,769.2936401,37.51550674,42.92358398,68.26874542,78.1100769,500.317749,1499.038452,235.1631775,100.9873581,0.037492752,-0.753068089,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833862915,0.004711844,310.3971199,307.8315567,239.846147,-0.006996003,6.390421429,63.27941981,20.35583583,35.9643383,5.957096184,0.219182269,4.334739346,1.622356837,0.138525747,58.79174018,0.756758246,68.64971438,758.4852757,0.020579563,0,310.3971199
"19-Sep-17",262,"Tabebuia",10.73722222,"Control","c.w",800,1,1,11,35,6,"c.w800.1.1.6",21,38.60054398,585.7,586.2615009,22.52404741,22.44760365,0.243085948,5.18113361,2.203099006,38.60054398,6,1.420000017,1,2.840000033,36.1047287,35,800,801,769.6554565,40.35689545,46.28118134,67.8904953,77.85664368,500.449646,1499.137329,397.2542114,100.9896851,0.032497406,-0.903802037,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834082743,0.005181134,311.750544,309.2547287,239.8619673,-0.242000735,6.877020933,68.09627072,21.81508938,37.35263634,6.427252675,0.223919833,4.673921927,1.753330748,0.141554268,58.98679828,0.758894584,68.70019659,758.8359695,0.020606362,0,311.75054398
"19-Sep-17",262,"Tabebuia",14.32722222,"Control","c.w",800,1,1,11,36,7,"c.w800.1.1.7",22,39.73071289,472.7,473.7683777,19.98034365,19.9007629,0.123174371,3.651607864,2.932083972,39.73071289,6,1.420000017,1,2.840000033,36.99631882,36.1,800,800,772.5293579,39.29151917,43.48008347,62.72697449,69.41381073,500.3388367,1500.181152,170.7962036,100.6340714,-1.719718933,-0.879914403,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833898061,0.003651608,312.8807129,310.1463188,240.028979,0.503242452,7.307661794,72.61617955,29.13609609,38.36351585,6.789550811,0.118054212,4.375577822,2.413972989,0.074227425,47.25606245,0.607851504,59.17460607,762.9181831,0.015682614,0,312.88071289
"19-Sep-17",262,"Tabebuia",14.74388889,"Control","c.w",800,1,1,11,37,8,"c.w800.1.1.8",23,39.13013458,514.8,515.6961227,19.98813537,19.90827852,0.147474507,4.31364728,2.924786697,39.13013458,6,1.420000017,1,2.840000033,37.42102432,37.1,800,801,772.7824097,36.27532578,41.23585892,56.60681152,64.34761047,500.2410278,1500.816284,107.0205841,100.6698456,-2.016290665,-0.812615514,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833735046,0.004313647,312.2801346,310.5710243,240.1306001,0.321140917,7.075994246,70.28911394,29.05325502,38.27557945,6.75734613,0.140194535,4.15120755,2.60613858,0.088247801,51.56012369,0.662761573,58.38598596,763.1674567,0.015474639,0,312.28013458
"20-Sep-17",263,"Tabebuia",9.967777778,"Control","c.w",800,1,1,11,24.5,9,"c.w800.1.1.9",24,29.36489487,630.7,631,16.77763219,16.69332787,0.220035822,2.937466427,1.403690397,29.36489487,6,1.420000017,1,2.840000033,26.08869934,24.61247826,800,800,776.8623657,23.34380913,26.77261925,69.50183868,79.71048737,500.2591553,1498.780762,683.2316895,100.9907608,-3.037298203,-0.028639913,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833765259,0.002937466,302.5148949,299.2386993,239.8049165,0.845620267,4.107477584,40.67181543,13.89919618,27.7267971,3.73481834,0.204213863,2.703787186,1.031031154,0.128966733,63.51192405,0.809523653,67.17641881,768.7723301,0.014871477,0,302.51489487
"20-Sep-17",263,"Tabebuia",10.38055556,"Control","c.w",800,1,1,11,26,10,"c.w800.1.1.10",25,30.46528244,633.4,634,17.78504841,17.70006771,0.241583629,3.53197666,1.544755266,30.46528244,6,1.420000017,1,2.840000033,27.40483856,25.99210739,800,802,777.4833984,23.91731262,28.03427124,65.89531708,77.23807526,500.3150024,1500.818604,511.4724121,100.9796753,-3.413106918,-0.116475224,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833858337,0.003531977,303.6152824,300.5548386,240.1309712,0.564553657,4.375646873,43.33195626,15.29768502,28.9350605,4.006684668,0.222644454,2.830891607,1.175793061,0.140738828,63.79023749,0.812510767,66.2602369,768.9143018,0.015534406,0,303.61528244
"20-Sep-17",263,"Tabebuia",10.83166667,"Control","c.w",800,1,1,11,27,11,"c.w800.1.1.11",26,31.99097633,598.7,599,18.83207193,18.74779108,0.20252425,3.515374246,1.805479103,31.99097633,6,1.420000017,1,2.840000033,28.6205616,26.97000313,800,803,776.8408203,25.29760551,29.38904381,64.91831207,75.41769409,500.3708496,1500.026855,905.9993286,100.9616318,-3.618028641,-0.201348424,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833951416,0.003515374,305.1409763,301.7705616,240.0042915,0.520817809,4.772644922,47.27186792,17.88282411,30.30576897,4.335851683,0.189043315,2.967165819,1.368685864,0.11929355,60.24540576,0.768131428,63.28092171,767.7742087,0.015720591,0,305.14097633
"22-Sep-17",265,"Tabebuia",12.06416667,"Control","c.w",800,1,1,11,38,12,"c.w800.1.1.12",27,41.89,605.3,605.75,21.42204332,21.35,0.269464368,5.959318889,2.268006176,41.88962936,6,1.420000017,1,2.840000033,39.44254303,38,800,800,769.0947266,52.12383652,58.84793472,72.9645462,82.37714386,500.4649048,1498.989258,119.2122726,100.7275543,1.743824005,-1.443713188,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834108175,0.005959319,315.0396294,312.592543,239.8382759,-0.642563286,8.195614718,81.36417858,22.51624386,40.6660862,7.681568315,0.246112743,5.927608541,1.753959774,0.155760822,60.81741766,0.785054582,72.81921244,758.7992435,0.020785017,0,315.04
"22-Sep-17",265,"Tabebuia",12.49805556,"Control","c.w",800,1,1,11,39,13,"c.w800.1.1.13",28,42.26,614.8,615.24,20.3741167,20.3,0.272400686,5.871775074,2.207042705,42.26037598,6,1.420000017,1,2.840000033,40.09489059,39,800,800,770.0993652,54.47518539,61.08523178,73.60569,82.53704834,500.428833,1499.307007,126.8170929,100.6806107,2.128070831,-1.532454491,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834048055,0.005871775,315.410376,313.2448906,239.8891157,-0.555275368,8.357141142,83.00646061,21.92122883,41.17763329,7.892980673,0.248559883,6.150098438,1.742882235,0.157329311,61.74508996,0.796360703,74.03135332,760.3017224,0.02006947,0,315.41
"22-Sep-17",265,"Tabebuia",12.98472222,"Control","c.w",800,1,1,11,40,14,"c.w800.1.1.14",29,43.78,602.7,603.35,18.21532903,18.14,0.220666493,5.481787472,2.485498525,43.77826691,6,1.420000017,1,2.840000033,41.26813507,40,800,800,772.7600708,59.05785751,65.20069122,74.94482422,82.74011993,500.5218811,1500.349121,146.6601105,100.6436996,3.043262482,-1.705489159,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834203135,0.005481787,316.9282669,314.4181351,240.055854,-0.411935723,9.047537309,89.8967083,24.69601708,42.52320099,8.473311083,0.204756984,6.562038784,1.911272299,0.129313321,60.48026526,0.777646856,72.36611086,763.9878316,0.017480097,0,316.93
