DOY,Species,Time,Treat,CO2.meas,Plant,Leaf,Leaf.unique,Tset,Rep,Rep.total,Tleaf,Ci,Photo,Cond,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,TBlk,CO2.set,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R.W.m2.,Tl.Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci.Ca,RHsfc,C2sfc,AHs.Cs,EBal.,Tk
251,Tabebuia,12.92,w.w,800,2,1,121,41,14,14,44.09,607.3,28.21,0.38,6.64,1.83,44.09,6,1.420000017,1,2.840000033,42.07,41.01,800,800,760.59,65.76,73.15,80.04,89.05,499.48,1499.33,174.21,100.69,4.03,-1.33,0.33,-0.22,2.74,1,0,0.16,111115,0.83,0.01,317.24,315.22,239.89,-0.93,9.19,91.3,18.15,43.08,8.72,0.34,7.37,1.36,0.21,61.04,0.8,80.9,747.07,0.03,0,317.24
251,Tabebuia,13.33,w.w,800,2,1,121,42,15,15,43.99,624.3,27.58,0.43,6.87,1.71,43.99,6,1.420000017,1,2.840000033,42.62,41.99,800,800,761.08,66.23,73.88,78.29,87.33,499.38,1501.38,151.58,100.66,3.29,-1.47,0.67,-0.22,2.74,1,0,0.16,111115,0.83,0.01,317.14,315.77,240.22,-0.94,9.15,90.86,16.99,43.3,8.83,0.37,7.44,1.39,0.24,62.75,0.82,82.29,747.86,0.03,0,317.14
254,Tabebuia,10.07,w.w,800,2,1,121,36,16,16,37.06,598.1,32.7,0.43,6.5,1.68,37.06,6,1.420000017,1,2.840000033,36.33,36.14,800,800,755.33,38.63,46.06,64.17,76.52,500.4,1499.12,314.52,100.94,-2.28,-0.54,0.67,-0.22,2.74,1,0,0.16,111115,0.83,0.01,310.21,309.48,239.86,-0.65,6.32,62.66,16.59,36.69,6.2,0.37,4.65,1.55,0.24,60.27,0.79,75.65,739.68,0.03,0,310.21
256,Tabebuia,9.5,w.w,800,2,1,121,30,17,17,33.42,538.4,27.34,0.23,4.13,1.89,33.42,6,1.420000017,1,2.840000033,30.95,30.09,800,800,763.51,27.62,32.41,62.06,72.83,500.28,1500.26,79.96,101.1,0.35,-0.34,0.67,-0.22,2.74,1,0,0.16,111115,0.83,0,306.57,304.1,240.04,0.32,5.17,51.15,18.74,32.18,4.83,0.21,3.28,1.55,0.13,54.26,0.7,64.61,750.4,0.02,0,306.57
243,Tabebuia,13.37,w.w,800,3,1,131,36,1,1,38.66,362.2,19.8,0.09,3.37,3.86,38.66,6,1.420000017,1,2.840000033,36.63,36.14,800,802,775.52,26.22,30.14,42.8,49.2,500.4,1498.75,113.6,100.85,-5.33,-0.83,0.67,-0.22,2.74,1,0,0.16,111115,0.83,0,311.81,309.78,239.8,0.75,6.9,68.42,38.29,37.64,6.53,0.08,3.04,3.49,0.05,36.07,0.46,42.88,765.99,0.01,0,311.81
243,Tabebuia,11.86,w.w,800,3,1,131,40,2,2,39.36,531.1,25.97,0.23,7.13,3.26,39.36,6,1.420000017,1,2.840000033,39.75,40.05,800,801,763.13,30.41,38.64,41.97,53.32,500.53,1500.4,239.26,100.96,-3.77,-1.24,0.33,-0.22,2.74,1,0,0.16,111115,0.83,0.01,312.51,312.9,240.06,-0.81,7.16,70.95,32.32,39.56,7.24,0.21,3.9,3.34,0.13,53.45,0.69,55.35,750.68,0.02,0,312.51
247,Tabebuia,9.95,w.w,800,3,1,131,24,3,3,28.53,421.3,18.97,0.09,1.57,1.72,28.53,6,1.420000017,1,2.840000033,25.8,25.02,800,800,775.66,19.83,21.68,60.13,65.73,500.22,1500.19,443.62,101.07,-8.22,0.31,1,-0.22,2.74,1,0,0.16,111115,0.83,0,301.68,298.95,240.03,1.64,3.91,38.73,17.05,27.16,3.61,0.09,2.19,1.42,0.06,42.73,0.55,56.04,766.53,0.01,0,301.68
247,Tabebuia,11,w.w,800,3,1,131,27,4,4,30.36,419.8,20.42,0.1,1.88,1.9,30.36,6,1.420000017,1,2.840000033,27.63,26.97,800,800,774.28,22.07,24.27,60.08,66.07,499.43,1500.32,463.55,101.09,-8.62,0.24,1,-0.22,2.74,1,0,0.16,111115,0.83,0,303.51,300.78,240.05,1.47,4.35,43.02,18.75,28.99,4.02,0.1,2.45,1.57,0.06,42.57,0.54,56.43,764.46,0.02,0,303.51
248,Tabebuia,8.54,w.w,800,3,1,131,31,5,5,33.06,533.3,26.77,0.21,2.63,1.31,33.06,6,1.420000017,1,2.840000033,31.59,31.07,800,800,765.91,34.17,37.21,73.98,80.57,500.34,1499.25,206.84,101.02,-5.44,-0.04,1,-0.22,2.74,1,0,0.16,111115,0.83,0,306.21,304.74,239.88,1.24,5.07,50.19,12.98,32.33,4.86,0.19,3.76,1.11,0.12,53.69,0.69,74.8,753.08,0.03,0,306.21
249,Tabebuia,11.67,w.w,800,3,1,131,34,8,8,35.78,499.1,26.04,0.17,2.56,1.5,35.78,6,1.420000017,1,2.840000033,34.4,34,800,801,767.5,40.65,43.58,75.12,80.53,500.32,1501.2,269.73,100.96,-6.43,-0.24,1,-0.22,2.74,1,0,0.16,111115,0.83,0,308.93,307.55,240.19,1.28,5.9,58.41,14.84,35.09,5.68,0.16,4.4,1.28,0.1,50.16,0.65,74.78,755.01,0.03,0,308.93
